n_features,features,r2,mae,mse
2,"('employees', 'altman_score')",0.23585291368243155,4.497170542635662,47.083187449612424
2,"('employees', 'piotroski_score')",0.14071638201876913,4.676976805709365,52.94505780655135
2,"('employees', 'Decarbonization Target_Target Year')",0.12767691763003053,4.802476565768426,53.748488922170864
2,"('employees', 'Decarbonization Target_Comprehensiveness')",0.115711229642671,5.008510206718344,54.48575893282728
2,"('employees', 'Decarbonization Target_Ambition p.a.')",0.24924830295088807,4.542364341085271,46.25782589922479
2,"('employees', 'Temperature Goal')",0.045000050939063785,5.06996504245109,58.842652705371705
2,"('employees', 'environmental_metric')",0.20031315065526412,4.7654304755752435,49.27298226069611
2,"('employees', 'social_metric')",0.22676099722207854,4.581828922111481,47.643389032061584
2,"('employees', 'governance_metric')",0.09996806137493375,4.8875151962593835,55.45577969960492
2,"('employees', 'involvement_metric')",0.13176042436324842,5.043248015873016,53.49688224014009
2,"('altman_score', 'piotroski_score')",0.174141587512737,5.169251707272054,50.88555219042934
2,"('altman_score', 'Decarbonization Target_Target Year')",0.04852164116418689,5.338650439891719,58.62566870365389
2,"('altman_score', 'Decarbonization Target_Comprehensiveness')",0.17515638799869815,5.0604819736680176,50.82302490692595
2,"('altman_score', 'Decarbonization Target_Ambition p.a.')",0.20772066677193124,4.937566752799311,48.816565588955875
2,"('altman_score', 'Temperature Goal')",0.2122155550798721,4.710218604651162,48.53961148868217
2,"('altman_score', 'environmental_metric')",0.08932473286683174,5.197248852590132,56.11157207283725
2,"('altman_score', 'social_metric')",0.2281829517948517,4.899781007751939,47.55577480844745
2,"('altman_score', 'governance_metric')",0.15159323314274498,5.156793992248063,52.27487685644189
2,"('altman_score', 'involvement_metric')",0.03088749839106375,5.393350799803127,59.71220251967781
2,"('piotroski_score', 'Decarbonization Target_Target Year')",-0.03811598519424031,5.928476145247023,63.96387606590517
2,"('piotroski_score', 'Decarbonization Target_Comprehensiveness')",0.09608770102250175,5.294409188202841,55.694869447006866
2,"('piotroski_score', 'Decarbonization Target_Ambition p.a.')",0.10631141110065867,4.868771079933815,55.064932008705476
2,"('piotroski_score', 'Temperature Goal')",0.06510635547218824,5.439238943429113,57.60379578606564
2,"('piotroski_score', 'environmental_metric')",0.07665167490008262,5.903814611011202,56.89242692983042
2,"('piotroski_score', 'social_metric')",0.142116315071387,5.381887551719742,52.85880044653058
2,"('piotroski_score', 'governance_metric')",0.06043777218791635,5.875012097879273,57.89145216247973
2,"('piotroski_score', 'involvement_metric')",-0.02151444715569495,6.190765374837968,62.940966548331154
2,"('Decarbonization Target_Target Year', 'Decarbonization Target_Comprehensiveness')",-0.01811029451304913,5.472267123041035,62.73121850394199
2,"('Decarbonization Target_Target Year', 'Decarbonization Target_Ambition p.a.')",0.0880875930679561,5.059936011221434,56.18779887013165
2,"('Decarbonization Target_Target Year', 'Temperature Goal')",0.04827263665076276,5.600625132287854,58.64101120301203
2,"('Decarbonization Target_Target Year', 'environmental_metric')",0.07716956787058371,5.695559187768334,56.86051677503752
2,"('Decarbonization Target_Target Year', 'social_metric')",0.1806033707856991,5.18372750567918,50.48740717548753
2,"('Decarbonization Target_Target Year', 'governance_metric')",0.057140643726516616,5.699951229440868,58.094605874864655
